Company,Website,Industry,Stage,Location,One-Liner,Founders,Raise
Harvest Lane,https://harvestlane.io,AgTech,Pre-Seed,South Bend IN,Soil-sensor SaaS that turns agronomy data into per-acre recommendations,Maria Okafor,$750k
Ledgerline,https://ledgerline.dev,Fintech,Seed,Chicago IL,API for community banks to launch embedded lending products,Dev Patel & Sarah Kim,$2.5M
Foundry Metrics,foundrymetrics.com,Developer Tools,Pre-Seed,Columbus OH,Observability for CI pipelines with per-commit cost tracking,Alex Rivera,$900k
Bluff City Robotics,bluffcity.ai,Robotics,Seed,Memphis TN,Retrofit palletizing arms for mid-size warehouses,Jordan Lee,$3M
Quietriver Health,,HealthTech,Pre-Seed,Ann Arbor MI,Async follow-up workflows for rural clinics,Dr. Emily Torres,$600k
Stackline Freight,https://stacklinefreight.com,Logistics,Seed,Indianapolis IN,Marketplace matching regional carriers with recurring mid-mile lanes,Chris Novak,$2M
Perch Analytics,perchanalytics.io,B2B SaaS,Pre-Seed,Milwaukee WI,Revenue analytics with recurring revenue benchmarks for franchise operators,Dana White,$800k
Casino Royale Social,casinoroyale.gg,Gaming,Seed,Las Vegas NV,Social casino with real-money gambling tournaments,Vince Marlow,$4M
Northglass AI,northglass.ai,AI,Seed,Detroit MI,Computer-vision QA for auto-glass manufacturing lines with paid pilots at two OEMs,Priya Shah,$1.8M
Tundra Compute,,Infrastructure,Series A,Minneapolis MN,Bare-metal GPU co-ops for university labs,Sam Berg,$8M
